Fecha;PUE;Contador Gral;Contador A;Contador B;Pot Gral;Pot A;Pot B;Hum 1 Der;Hum 1 Izq;Hum 2 Der;Hum 2 Izq;Hum 3 Der;Hum 3 Izq;Hum 4 Der;Hum 4 Izq;Hum 5 Der;Hum 5 Izq;Temp 1 Der;Temp 1 Izq;Temp 2 Der;Temp 2 Izq;Temp 3 Der;Temp 3 Izq;Temp 4 Der;Temp 4 Izq;Temp 5 Der;Temp 5 Izq;Temp Ext;Hum Ext
01/12/2024 0:00;1,47;12457292.74;11438.41;17572.63;385.74;119.11;141.42;66;63;64;64;64;65;34;58;60;34;22.1;22.4;22.8;22.1;22.4;22.2;32.5;23.1;22.8;31.7;10,6;79
01/12/2024 0:05;1,48;12457331.22;11438.42;17572.64;386.42;118.78;140.37;66;63;64;64;64;65;34;58;60;34;22.1;22.6;22.8;22;22.5;22.3;32.7;23.1;22.9;31.7;10,3;80
01/12/2024 0:10;1,47;12457363.3;11438.43;17572.65;388.3;119.67;141.34;66;63;63;64;63;65;34;58;60;34;22.2;22.6;22.8;22;22.6;22.3;32.7;23;22.9;31.7;10,1;81
01/12/2024 0:15;1,47;12457395.53;11438.44;17572.67;385.44;119.19;141.58;66;63;63;63;64;65;34;58;60;34;22.2;22.6;22.9;22.1;22.6;22.2;32.6;23.2;22.9;31.7;10;81
01/12/2024 0:20;1,48;12457427.62;11438.45;17572.68;385.3;119.03;141.34;66;63;63;64;64;65;34;57;60;34;22.2;22.7;22.8;22;22.5;22.2;32.6;23.2;23;31.7;10,4;81
01/12/2024 0:25;1,49;12457459.71;11438.46;17572.69;388.26;119.51;141.1;66;63;63;64;64;64;34;57;60;34;22.3;22.5;22.9;22;22.5;22.4;32.7;23.2;22.9;31.7;10,7;82
01/12/2024 0:30;1,45;12457491.88;11438.47;17572.7;392.22;118.78;141.34;66;62;63;64;64;65;34;57;60;34;22.3;22.6;22.9;22;22.6;22.2;32.6;23.2;22.9;31.7;10,7;79
01/12/2024 0:35;1,48;12457524.05;11438.48;17572.71;384.19;119.11;141.02;65;62;63;63;63;64;34;57;60;34;22.4;22.7;23;22.1;22.6;22.4;32.7;23.2;22.8;31.7;10,4;80
01/12/2024 0:40;1,48;12457556.17;11438.49;17572.72;386.19;118.86;140.61;65;62;63;63;64;65;34;58;60;34;22.4;22.7;23;22.1;22.5;22.2;32.6;23.2;22.8;31.7;10,4;81
01/12/2024 0:45;1,47;12457588.32;11438.5;17572.73;387.7;119.11;140.94;65;62;63;64;63;65;34;58;60;34;22.3;22.7;22.8;22;22.6;22.2;32.6;23;22.8;31.7;10,3;81
01/12/2024 0:50;1,49;12457620.56;11438.51;17572.75;386.62;119.43;141.02;65;62;63;63;64;65;34;58;60;34;22.3;22.6;22.9;22.1;22.5;22.1;32.7;23;22.8;31.7;10,3;81
01/12/2024 0:55;1,49;12457652.73;11438.51;17572.76;385.8;119.51;141.1;65;62;63;64;63;65;34;58;60;34;22.3;22.7;22.9;22;22.5;22.3;32.6;23;22.8;31.7;10,3;81
01/12/2024 1:00;1,48;12457678.57;11438.52;17572.77;389.39;119.67;142.15;65;62;63;63;63;64;34;57;60;34;22.5;22.7;23;22.1;22.5;22.2;32.7;23.1;22.8;31.6;10,3;82
