Fecha;PUE;Contador Gral;Contador A;Contador B;Pot Gral;Pot A;Pot B;Hum 1 Der;Hum 1 Izq;Hum 2 Der;Hum 2 Izq;Hum 3 Der;Hum 3 Izq;Hum 4 Der;Hum 4 Izq;Hum 5 Der;Hum 5 Izq;Temp 1 Der;Temp 1 Izq;Temp 2 Der;Temp 2 Izq;Temp 3 Der;Temp 3 Izq;Temp 4 Der;Temp 4 Izq;Temp 5 Der;Temp 5 Izq;Temp Ext;Hum Ext
01/02/2025 0:00;1,45;13055361,59;11624,94;17794,48;427,69;132,93;163,01;61;59;60;58;58;59;34;50;59;27;22,3;22,7;22,9;22,4;23,2;23;31,8;25,3;22,9;35,5;4,8;54
01/02/2025 0:05;1,44;13055390,02;11624,95;17794,49;425,72;133,01;162,2;62;59;60;58;58;59;34;50;58;27;21,9;22,3;22,6;22,5;23,1;23;31,9;25,3;22,8;35,4;5;53
01/02/2025 0:10;1,43;13055432,74;11624,96;17794,5;428,47;132,29;163,17;63;59;60;58;58;59;34;50;59;27;21,6;22,1;22,4;22,4;23;23;32;25,1;22,9;35,4;5,2;53
01/02/2025 0:15;1,45;13055468,34;11624,97;17794,52;433,93;132,45;162,69;63;60;61;58;58;59;34;50;59;27;21,5;21,9;22,2;22,6;23;23;31,9;25,1;22,8;35,7;5,3;53
01/02/2025 0:20;1,44;13055503,94;11624,99;17794,53;428,87;132,93;162,04;63;60;61;57;58;58;34;50;58;27;21,5;21,8;22,2;22,6;23;22,9;31,8;25,2;22,6;35,4;4,9;55
01/02/2025 0:25;1,43;13055539,39;11625;17794,55;420,5;132,21;162,77;63;60;61;57;58;58;34;50;58;27;21,3;21,8;22,1;22,4;23;23;31,8;25,2;22,8;35,3;4,7;57
01/02/2025 0:30;1,45;13055575,18;11625,01;17794,56;426,45;132,69;162,28;63;60;61;57;58;58;34;50;58;27;21,3;21,7;22;22,4;23;22,9;31,8;25,2;22,8;35,4;4,6;54
01/02/2025 0:35;1,45;13055610,79;11625,02;17794,57;425,69;132,37;162,53;63;60;61;57;58;58;34;50;58;27;21,2;21,7;21,8;22,4;22,9;22,9;31,8;25;22,8;35,3;5;57
01/02/2025 0:40;1,45;13055646,4;11625,03;17794,59;427,26;132,69;162,77;63;60;61;57;58;58;34;50;58;27;21,1;21,7;22;22,4;22,9;23;31,8;25;22,8;35,3;5;58
01/02/2025 0:45;1,43;13055682,01;11625,04;17794,6;434,94;132,04;162,28;63;60;61;57;58;58;34;50;58;27;21,2;21,7;21,9;22,5;22,8;23,1;31,8;25;22,8;35,4;5;57
01/02/2025 0:50;1,44;13055717,59;11625,05;17794,61;430,54;132,21;162,53;63;60;61;57;58;58;34;50;58;27;21,2;21,5;21,8;22,4;22,9;22,9;31,6;25,2;22,8;35,4;4,9;57
01/02/2025 0:55;1,45;13055753,18;11625,06;17794,63;423,04;132,69;162,28;63;60;61;57;58;58;34;50;58;27;21,2;21,6;21,8;22,4;22,8;22,9;31,8;25,2;22,9;35,6;4,9;56
01/02/2025 1:00;1,46;13055788,84;11625,07;17794,64;425,13;132,37;162,45;64;60;61;57;58;58;34;50;58;27;21;21,5;21,7;22,4;22,8;23;31,7;25,2;22,7;35,3;4,9;58
01/02/2025 1:05;1,39;13055823,95;11625,08;17794,65;427,06;132,61;161,48;63;60;61;57;58;58;33;50;58;27;21,7;21,9;21,8;22,4;22,8;23;31,6;25,2;22,7;35,5;4,6;59
01/02/2025 1:10;1,4;13055858,61;11625,09;17794,67;417,81;132,77;162,2;57;55;58;57;57;58;34;50;58;27;23,4;23,9;23,3;22,3;23;23;31,6;25,2;22,8;35,3;4,4;60
01/02/2025 1:15;1,43;13055893,8;11625,11;17794,68;422,4;132,04;162,85;60;57;58;58;57;58;34;50;58;27;22,9;23,2;23,3;22,5;23,2;23,1;31,8;25,1;22,8;35,4;4,2;61
01/02/2025 1:20;1,43;13055929,15;11625,12;17794,7;429,28;132,29;162,28;61;58;59;58;58;59;34;50;59;27;22,2;22,6;23;22,5;23,1;23;31,8;25,1;22,7;35,3;4;61
01/02/2025 1:25;1,43;13055964,57;11625,13;17794,71;424,79;132,12;161,72;62;59;60;58;58;59;34;50;59;27;22;22,4;22,5;22,4;22,9;23;31,8;25,1;22,7;35,5;3,8;62
01/02/2025 1:30;1,44;13056000;11625,14;17794,72;431,92;131,72;161,96;63;60;61;58;58;59;34;51;59;27;21,6;22,1;22,3;22,5;23;22,9;31,8;24,9;22,5;35,5;3,8;63
01/02/2025 1:35;1,43;13056035,48;11625,15;17794,73;425,07;132,21;161,64;63;60;61;58;59;59;34;50;59;27;21,6;21,9;22,4;22,4;22,8;22,9;31,8;25;22,7;35,4;3,8;63
01/02/2025 1:40;1,44;13056071,01;11625,16;17794,75;425,56;132,12;161,96;63;60;61;58;58;59;34;50;59;27;21,4;22;22,1;22,4;23;22,9;31,9;25,1;22,7;35,4;3,9;64
01/02/2025 1:45;1,42;13056106,62;11625,17;17794,76;422,55;132,77;162,2;63;60;61;58;58;58;34;50;59;27;21,4;21,8;22;22,4;23;22,9;31,6;25,1;22,7;35,3;3,9;64
01/02/2025 1:50;1,44;13056141,55;11625,18;17794,78;415,41;132,37;161,96;62;59;59;57;58;59;34;50;59;27;22;22,2;22,8;22,5;22,9;22,9;31,9;25,1;22,7;35,3;3,9;61
01/02/2025 1:55;1,4;13056176,2;11625,19;17794,79;419,74;131,8;161,96;57;55;56;58;57;58;34;50;58;27;23,6;24;23,8;22,4;23,2;22,9;31,8;25,2;22,6;35,3;4;60
01/02/2025 2:00;1,42;13056211,44;11625,21;17794,8;418,67;132,45;162,69;60;57;58;58;58;59;34;50;59;27;22,6;23,1;23,3;22,4;23,2;22,9;31,7;25,1;22,7;35,3;3,6;61
01/02/2025 2:05;1,42;13056240,48;11625,21;17794,81;427,81;132,45;163,26;61;58;59;58;58;59;34;50;59;27;22,3;22,7;23;22,5;23,1;22,9;31,8;25,1;22,7;35,5;3,3;63
01/02/2025 2:10;1,43;13056283,15;11625,23;17794,83;424,84;132,29;162,04;62;59;60;58;58;59;34;50;59;27;22;22,3;22,5;22,6;23;22,9;31,9;25,1;22,6;35,3;3,3;68
01/02/2025 2:15;1,45;13056318,64;11625,24;17794,84;427,62;133,34;162,04;62;59;60;58;58;58;34;50;59;27;21,7;22,1;22,4;22,5;22,9;23;32;25,1;22,9;35,3;2,5;69
01/02/2025 2:20;1,44;13056354,07;11625,25;17794,86;432,26;132,69;162,53;62;59;60;57;58;58;34;50;58;27;21,6;22;22,3;22,4;23;22,9;31,8;25,2;22,9;35,3;3;67
01/02/2025 2:25;1,44;13056389,67;11625,26;17794,87;426,66;131,96;162,61;63;60;61;57;58;59;34;50;58;27;21,4;21,8;22,1;22,5;22,9;22,9;31,8;25,2;22,9;35,4;3,3;63
01/02/2025 2:30;1,47;13056425,25;11625,27;17794,89;426,59;132,93;162,45;63;60;61;58;58;58;34;50;59;27;21,4;21,8;22;22,4;22,9;23;31,9;25,2;22,7;35,6;3,4;62
01/02/2025 2:35;1,44;13056460,84;11625,28;17794,9;426,68;132,37;162,2;63;60;61;57;58;58;34;50;58;27;21,3;21,7;22;22,4;23;23;31,8;25,1;22,7;35,3;3,4;67
01/02/2025 2:40;1,39;13056495,76;11625,29;17794,91;413,87;133,01;162,93;59;57;59;57;58;58;34;50;58;27;22,9;23;22,6;22,4;23,1;22,9;31,8;25,1;22,6;35,4;2,5;68
01/02/2025 2:45;1,42;13056530,51;11625,3;17794,92;421,98;132,29;161,8;57;54;56;57;57;58;34;50;59;27;23,6;24,1;24;22,5;23,2;23;32;25,2;22,8;35,3;2,6;68
01/02/2025 2:50;1,45;13056565,88;11625,32;17794,94;422,57;132,12;162,37;59;56;58;58;58;58;34;50;59;27;22,9;23,4;23,3;22,6;23,3;23,1;32;25,1;22,8;35,4;2,7;66
01/02/2025 2:55;1,44;13056601,29;11625,33;17794,95;427,04;132,12;161,96;62;59;59;58;58;59;34;50;59;27;22,3;22,7;22,8;22,5;23,2;23,1;31,9;25,2;22,8;35,6;2,7;65
01/02/2025 3:00;1,46;13056636,94;11625,34;17794,97;426,99;132,85;163,26;62;59;60;58;58;59;34;50;59;27;22,1;22,3;22,6;22,5;23;23,1;31,9;25,3;22,8;35,4;2,8;65
